shopid;orderid;buyerid;itemid;gmv;order_time
2030;1030453;1902;4200120;89.0;05/06/2020
2164;1030456;3063;7183378;86.0;12/06/2020
2428;1030466;4600;2003377;80.0;24/02/2020
2552;1030474;3069;9042601;2.0;16/06/2020
2535;1030480;3780;7841400;75.0;11/07/2020
2371;1030484;2425;3067307;50.0;17/03/2020
2323;1030490;3207;4165460;96.0;27/02/2020
2650;1030494;2574;1325348;59.0;23/09/2020
2430;1030499;3315;5701545;88.0;08/08/2020
2332;1030503;1659;7942993;6.0;23/03/2020
2219;1030508;1912;6850338;27.0;03/10/2020
2946;1030518;3920;5884827;7.0;01/05/2020
2792;1030526;3993;2522411;35.0;18/10/2020
2776;1030533;2575;7045364;61.0;16/10/2020
2432;1030540;2916;9223750;91.0;10/10/2020
2574;1030545;1477;5711073;20.0;03/05/2020
2877;1030546;3632;4650433;57.0;13/07/2020
2093;1030549;2731;1797004;37.0;05/11/2020
2183;1030557;1809;2169203;25.0;31/07/2020
2289;1030562;2444;8588781;71.0;08/08/2020
2322;1030571;3046;5268958;56.0;07/03/2020
2840;1030580;3505;6167682;35.0;29/05/2020
2611;1030583;1580;4456395;86.0;07/05/2020
2493;1030587;1484;4687522;73.0;27/10/2020
2540;1030593;4802;2391322;33.0;15/06/2020
2673;1030598;4699;4907568;81.0;24/07/2020
2160;1030607;2273;7789974;39.0;22/09/2020
2718;1030615;3375;7968061;17.0;26/03/2020
2992;1030621;4489;1966226;41.0;04/10/2020
2445;1030631;4879;7510220;23.0;26/10/2020
2283;1030640;4803;7882424;28.0;14/03/2020
2985;1030646;1705;7168779;3.0;17/07/2020
2401;1030655;1018;4454286;81.0;06/11/2020
2510;1030660;2082;8064497;52.0;14/03/2020
2332;1030665;3196;4951007;22.0;22/10/2020
2289;1030673;2911;6945938;24.0;16/09/2020
2134;1030675;2081;1686930;49.0;04/04/2020
2881;1030678;4694;6706597;59.0;11/03/2020
2996;1030686;3649;6547916;58.0;23/08/2020
2365;1030692;4263;2130346;34.0;24/09/2020
2746;1030699;4911;7191939;79.0;16/01/2020
2406;1030704;1505;8338220;34.0;20/11/2020
2994;1030708;1655;2805382;53.0;19/07/2020
2451;1030718;2030;7776822;28.0;20/09/2020
2339;1030725;4168;5823191;12.0;09/11/2020
2073;1030731;2626;7418218;100.0;09/05/2020
2903;1030733;3249;8545471;21.0;22/02/2020
2756;1030743;3667;4837109;72.0;06/12/2020
2888;1030745;3048;4100981;82.0;09/07/2020
2522;1030746;4646;2976798;72.0;15/07/2020
2479;1030755;4525;8480014;16.0;22/08/2020
2946;1030758;2364;2719035;99.0;12/04/2020
2398;1030765;3541;6497705;29.0;19/01/2020
2319;1030771;4251;9308640;86.0;17/05/2020
2800;1030775;2698;4740180;13.0;26/04/2020
2985;1030776;1619;1789287;61.0;11/02/2020
2315;1030777;3817;4790124;18.0;02/11/2020
2714;1030780;2885;1529022;19.0;18/11/2020
2210;1030789;3157;2455590;22.0;20/01/2020
2195;1030791;2426;4411904;13.0;13/01/2020
2477;1030800;3905;6131792;14.0;04/12/2020
2437;1030809;3609;9274400;94.0;20/10/2020
2292;1030810;1056;2106378;44.0;26/07/2020
2931;1030815;2318;6645902;39.0;09/02/2020
2363;1030820;2765;3161583;10.0;04/11/2020
2332;1030824;1592;2445208;19.0;10/06/2020
2133;1030834;2006;2947939;19.0;12/02/2020
2359;1030839;4885;1522911;10.0;10/12/2020
2808;1030847;2002;3512771;80.0;26/02/2020
2232;1030855;4407;2383957;45.0;24/11/2020
2571;1030857;1522;8446365;21.0;06/10/2020
2004;1030861;3112;4501339;26.0;28/02/2020
2569;1030867;2324;5987082;66.0;07/07/2020
2677;1030872;3909;6345482;71.0;10/10/2020
2377;1030879;4046;8840290;60.0;04/04/2020
2725;1030881;2002;3847446;32.0;09/08/2020
2583;1030883;2495;2045728;37.0;22/06/2020
2887;1030886;4918;3188374;33.0;11/10/2020
2993;1030896;3243;7747705;95.0;24/02/2020
2425;1030902;3085;2947268;55.0;12/06/2020
2725;1030907;1708;6897338;56.0;18/04/2020
2585;1030915;4034;7661365;80.0;06/12/2020
2220;1030917;3495;6253558;41.0;30/09/2020
2711;1030921;3055;8841623;18.0;27/02/2020
2730;1030926;2106;1487073;47.0;08/12/2020
2000;1030936;3791;6702764;35.0;14/12/2020
2623;1030942;1901;3563809;15.0;07/02/2020
2388;1030945;4944;2356295;73.0;16/07/2020
2729;1030947;4587;2987794;92.0;28/03/2020
2788;1030957;1141;4345939;8.0;19/08/2020
2010;1030963;3946;9092588;87.0;07/08/2020
2248;1030964;2826;6464129;53.0;26/04/2020
2526;1030969;1032;6097754;33.0;12/10/2020
2486;1030976;1125;9326736;26.0;24/10/2020
2141;1030984;4198;6106204;67.0;20/07/2020
2515;1030993;3272;9292448;4.0;15/12/2020
2751;1031002;4698;6724231;62.0;16/11/2020
2290;1031008;4597;7987004;60.0;15/04/2020
2938;1031009;2553;1472619;83.0;21/07/2020
2539;1031019;4291;2816269;39.0;17/01/2020
2371;1031027;1514;8637261;43.0;09/07/2020
2973;1031031;1396;2056013;73.0;28/05/2020
2131;1031039;4773;6917029;14.0;16/11/2020
2407;1031041;4088;3659494;27.0;24/02/2020
2593;1031049;3058;4633002;28.0;15/08/2020
2190;1031050;4229;9247358;26.0;14/04/2020
2960;1031060;4274;2505722;64.0;23/12/2020
2080;1031061;1655;7170569;98.0;02/04/2020
2725;1031070;4434;2657005;98.0;20/09/2020
2338;1031076;1562;5817743;22.0;08/04/2020
2198;1031081;2585;8706063;23.0;23/02/2020
2487;1031091;3636;3590814;92.0;28/01/2020
2502;1031093;4890;6025080;12.0;30/04/2020
2487;1031095;2881;2339541;28.0;01/12/2020
2375;1031098;3873;2407907;100.0;06/02/2020
2902;1031102;1047;7039225;74.0;06/06/2020
2591;1031111;4815;3167083;74.0;18/06/2020
2765;1031116;2847;4951633;22.0;30/05/2020
2661;1031118;1691;9118573;38.0;27/01/2020
2760;1031121;2683;8670032;2.0;18/12/2020
2012;1031125;3208;2027112;8.0;22/07/2020
2960;1031134;2807;6352338;15.0;14/03/2020
2189;1031142;1504;2340914;21.0;17/12/2020
2576;1031151;1126;4911824;31.0;22/07/2020
2288;1031161;3888;2269079;67.0;06/10/2020
2276;1031163;3668;7889602;39.0;14/05/2020
2913;1031167;2026;7647739;81.0;17/12/2020
2134;1031177;2640;1730948;57.0;12/11/2020
2053;1031185;2907;8522451;52.0;30/07/2020
2217;1031193;2644;2458842;56.0;06/01/2020
2817;1031197;4969;5865541;2.0;16/04/2020
2638;1031204;3240;4286207;24.0;12/01/2020
2760;1031205;4124;5550115;23.0;22/12/2020
2725;1031212;4122;5832788;38.0;28/01/2020
2334;1031217;2996;7616827;66.0;22/11/2020
2294;1031226;4438;5760669;65.0;20/07/2020
2275;1031234;1447;1650324;38.0;11/09/2020
2187;1031238;4183;3019287;18.0;22/04/2020
2477;1031246;1709;1427193;36.0;29/12/2020
2847;1031256;1285;2555636;35.0;29/11/2020
2040;1031259;4439;1829618;2.0;23/05/2020
2338;1031269;4196;2764434;73.0;13/09/2020
2085;1031270;3870;8078095;61.0;21/03/2020
2975;1031275;3918;1907597;42.0;05/08/2020
2555;1031278;2376;9107253;100.0;01/09/2020
2557;1031279;4576;7780182;16.0;21/03/2020
2792;1031286;1650;6774698;77.0;03/07/2020
2643;1031289;4548;3963133;64.0;28/05/2020
2242;1031292;4708;3928274;14.0;10/12/2020
2089;1031295;1659;2094972;74.0;13/11/2020
2314;1031298;3797;8098374;24.0;07/07/2020
2884;1031300;3336;1350551;12.0;31/03/2020
2942;1031306;3775;8441992;69.0;13/09/2020
2589;1031314;1398;6575422;35.0;12/04/2020
2702;1031317;4467;3609108;70.0;18/01/2020
2252;1031326;4066;7341274;58.0;11/05/2020
2934;1031334;1323;9114277;95.0;10/06/2020
2636;1031340;1150;2617807;11.0;16/07/2020
2610;1031348;2872;4429067;46.0;19/03/2020
2687;1031358;4538;5530037;58.0;23/07/2020
2213;1031362;2033;7539204;100.0;21/07/2020
2146;1031365;1743;5022378;13.0;10/03/2020
2442;1031366;3337;2081690;33.0;08/12/2020
2250;1031370;3549;7961955;36.0;23/08/2020
2117;1031380;3152;2326495;8.0;07/05/2020
2374;1031390;1501;5589539;33.0;03/01/2020
2777;1031400;2884;5311631;75.0;25/04/2020
2984;1031409;4315;4628986;13.0;25/10/2020
2909;1031411;2047;2384120;90.0;10/10/2020
2128;1031412;1902;1976058;6.0;28/05/2020
2879;1031417;2368;3643531;82.0;29/08/2020
2184;1031424;4280;1896856;1.0;30/05/2020
2135;1031425;2972;2028183;75.0;12/04/2020
2018;1031431;1840;1866915;69.0;04/12/2020
2431;1031441;3988;5498442;83.0;19/03/2020
2071;1031445;3174;7786961;49.0;06/06/2020
2646;1031448;3049;6201824;79.0;05/10/2020
2872;1031458;1288;6481729;33.0;11/09/2020
2814;1031459;4914;3123521;96.0;01/11/2020
2645;1031462;4870;8863849;22.0;17/06/2020
2789;1031471;1848;8705212;100.0;19/04/2020
2758;1031473;4003;6391812;60.0;05/03/2020
2140;1031482;3027;6814247;54.0;02/05/2020
2730;1031488;2273;3440903;55.0;12/08/2020
2528;1031489;1236;7176109;89.0;25/08/2020
2394;1031497;3959;3705268;40.0;04/09/2020
2396;1031506;2845;5937966;71.0;27/01/2020
2762;1031514;4306;8181784;84.0;05/03/2020
2702;1031520;4602;5643683;76.0;28/01/2020
2794;1031529;1054;6628700;78.0;14/06/2020
2250;1031530;3898;9255986;31.0;16/02/2020
2897;1031534;4180;1539292;51.0;01/03/2020
2921;1031539;3900;4047362;66.0;14/05/2020
2853;1031548;3203;9065127;49.0;02/06/2020
2006;1031555;2272;1928981;19.0;29/04/2020
2578;1031557;1971;6581337;49.0;30/08/2020
2494;1031560;1895;5480004;39.0;31/07/2020
2881;1031570;4166;3443570;99.0;09/04/2020
2652;1031579;3990;2706313;88.0;13/12/2020
2208;1031583;1909;6568510;37.0;15/04/2020
2458;1031586;3693;7029468;88.0;10/07/2020
2643;1031594;1156;4837448;47.0;03/08/2020
2928;1031597;2517;1996544;26.0;29/10/2020
2561;1031604;4861;6850809;93.0;29/05/2020
2255;1031610;4059;5971914;98.0;02/05/2020
2712;1031614;1156;5194080;55.0;12/02/2020
2520;1031617;4404;9054610;90.0;10/07/2020
2891;1031619;4037;2732100;66.0;12/03/2020
2536;1031629;2839;7593960;27.0;29/02/2020
2944;1031633;3347;7288875;17.0;14/07/2020
2974;1031634;4177;2381088;98.0;10/04/2020
2771;1031643;1535;8053022;5.0;12/09/2020
2529;1031652;3172;7065025;87.0;08/05/2020
2598;1031656;1071;1356902;8.0;25/11/2020
2364;1031657;2268;4904067;32.0;12/09/2020
2802;1031660;4421;4374664;70.0;12/06/2020
2291;1031661;2193;4906323;91.0;12/03/2020
2106;1031665;3880;1671989;57.0;20/11/2020
2263;1031672;4995;1614162;61.0;31/03/2020
2924;1031676;4915;4061210;58.0;17/05/2020
2709;1031681;3626;8711315;10.0;31/10/2020
2878;1031688;3104;5696130;89.0;14/12/2020
2358;1031692;4947;8109897;84.0;04/10/2020
2669;1031697;1644;1348935;21.0;27/04/2020
2227;1031700;1585;1922107;83.0;12/12/2020
2271;1031710;4654;7071227;10.0;08/08/2020
2357;1031720;3830;5800223;84.0;04/05/2020
2900;1031730;1556;5190966;96.0;02/06/2020
2010;1031732;1487;7572706;14.0;15/11/2020
2480;1031733;3828;3567971;89.0;18/04/2020
2453;1031743;4950;9021794;25.0;16/03/2020
2655;1031750;1410;6073841;51.0;20/12/2020
2198;1031752;4205;6153669;3.0;28/12/2020
2310;1031759;2695;4319081;2.0;30/03/2020
2132;1031769;1868;8504835;74.0;24/07/2020
2199;1031770;3896;5977311;12.0;30/01/2020
2685;1031780;4890;1680364;60.0;22/03/2020
2897;1031788;2133;6808769;82.0;01/05/2020
2534;1031796;3844;4708739;3.0;14/09/2020
2132;1031800;1286;3528270;58.0;13/09/2020
2476;1031810;3000;7678079;81.0;07/12/2020
2931;1031816;3100;6672165;58.0;21/02/2020
2698;1031817;1488;5648091;74.0;26/01/2020
2615;1031824;3779;2433204;57.0;05/10/2020
2657;1031829;3542;8962936;71.0;14/12/2020
2065;1031837;4170;9149160;91.0;10/10/2020
2157;1031845;1773;6074123;59.0;07/04/2020
2747;1031854;1727;5097678;4.0;21/03/2020
2180;1031858;3318;8006204;83.0;24/11/2020
2422;1031862;2846;7408603;98.0;30/01/2020
2556;1031868;3314;8938850;53.0;10/11/2020
2928;1031877;2563;2436266;73.0;01/12/2020
2827;1031878;1316;2805982;72.0;19/01/2020
2578;1031886;3399;4861537;93.0;11/09/2020
2912;1031888;4804;2697972;24.0;22/07/2020
2966;1031889;4803;3951896;49.0;15/08/2020
2124;1031894;1082;9058866;65.0;18/01/2020
2752;1031899;2432;8470268;37.0;19/07/2020
2160;1031900;3221;8031993;65.0;04/06/2020
2243;1031907;3361;6520745;89.0;22/03/2020
2117;1031913;2196;2231376;68.0;05/03/2020
2960;1031923;3065;6945358;94.0;23/08/2020
2996;1031925;3401;3918811;88.0;25/04/2020
2964;1031932;2034;6437277;45.0;01/08/2020
2832;1031934;2726;9042883;10.0;16/10/2020
2508;1031944;4135;8829940;33.0;23/08/2020
2719;1031953;4167;7944391;61.0;30/07/2020
2112;1031954;1448;6254843;53.0;22/05/2020
2999;1031957;3351;4340338;74.0;10/12/2020
2390;1031963;1577;8484337;48.0;02/06/2020
2822;1031970;4350;7806151;2.0;14/08/2020
2328;1031980;2341;7604140;51.0;27/03/2020
2097;1031983;1680;1967229;33.0;06/08/2020
2860;1031992;2850;5036646;68.0;23/03/2020
2935;1031994;1943;4172058;99.0;21/10/2020
2917;1032000;4362;8307636;27.0;18/02/2020
2686;1032009;4886;5553966;52.0;07/07/2020
2420;1032019;4103;6460793;28.0;11/07/2020
2181;1032021;4251;4555852;14.0;17/05/2020
2315;1032031;3331;6084061;39.0;31/05/2020
2637;1032037;1477;2447150;78.0;17/11/2020
2321;1032042;2156;2367215;60.0;12/05/2020
2464;1032046;4073;5802638;100.0;28/10/2020
2211;1032053;4813;6590300;65.0;15/10/2020
2906;1032056;2590;4669119;6.0;02/03/2020
2812;1032061;2469;4309913;24.0;31/08/2020
2630;1032064;3740;8733615;93.0;28/01/2020
2832;1032065;2234;8408005;50.0;09/01/2020
2773;1032073;1440;3439127;30.0;21/04/2020
2714;1032076;2014;3722977;34.0;03/09/2020
2834;1032085;3946;5546879;13.0;14/07/2020
2813;1032093;1501;5779440;25.0;03/08/2020
2823;1032103;1706;7724399;37.0;05/06/2020
2218;1032104;2064;5756594;64.0;15/09/2020
2610;1032110;3020;2849501;94.0;01/06/2020
2866;1032111;1303;2127871;25.0;05/08/2020
2886;1032113;1922;2149809;93.0;15/12/2020
2869;1032119;2460;8549349;87.0;13/03/2020
2105;1032129;1927;3742189;42.0;19/02/2020
2415;1032130;2735;5680425;15.0;14/03/2020
2151;1032137;2094;5410573;61.0;19/06/2020
2303;1032147;1417;3188004;1.0;22/03/2020
2481;1032152;2273;9244060;76.0;20/02/2020
3000;1032162;1180;9166723;19.0;11/05/2020
2880;1032164;1181;3418740;17.0;14/10/2020
2134;1032168;4831;5703193;46.0;20/02/2020
2959;1032175;3764;4560589;90.0;03/05/2020
2572;1032180;4668;7302027;3.0;09/07/2020
2634;1032190;4188;7738903;16.0;27/06/2020
2820;1032195;1446;8966884;51.0;16/02/2020
2650;1032201;4992;7106943;84.0;26/03/2020
2506;1032209;4863;7646809;75.0;25/01/2020
2913;1032218;1878;4326708;11.0;01/10/2020
2523;1032223;4028;4553617;29.0;14/06/2020
2947;1032230;4335;4757765;83.0;31/07/2020
2160;1032239;4144;5403394;52.0;18/02/2020
2427;1032247;4273;8339134;67.0;16/03/2020
2361;1032248;3008;6147082;60.0;17/06/2020
2454;1032254;1962;7773277;38.0;17/02/2020
2089;1032258;4597;8141379;72.0;03/06/2020
2548;1032265;2588;2538771;28.0;24/03/2020
2724;1032267;2669;2387173;67.0;18/03/2020
2260;1032275;3928;2302322;94.0;30/03/2020
2599;1032282;1742;7690141;45.0;06/09/2020
2871;1032283;1688;4860273;70.0;23/10/2020
2198;1032291;1698;4218244;55.0;03/10/2020
2287;1032298;4527;3289829;1.0;13/04/2020
2889;1032299;3786;4029684;90.0;09/11/2020
2916;1032302;4607;7958553;40.0;13/12/2020
2965;1032309;1330;8145570;54.0;25/09/2020
2586;1032318;2710;1494971;5.0;26/01/2020
2072;1032325;2673;6829144;23.0;01/12/2020
2003;1032334;2001;8401603;94.0;13/03/2020
2600;1032342;3224;2453515;100.0;25/03/2020
2072;1032352;1931;6092619;20.0;22/08/2020
2071;1032361;1288;9338655;94.0;06/11/2020
2514;1032364;2554;1494100;16.0;04/10/2020
2788;1032369;3783;1977975;36.0;25/04/2020
2741;1032376;1543;7747605;12.0;17/07/2020
2734;1032385;1814;1472650;92.0;22/12/2020
2630;1032389;3036;5716660;12.0;07/07/2020
2668;1032391;2443;2718807;82.0;30/04/2020
2464;1032400;3684;2756781;58.0;26/08/2020
2822;1032406;3686;7839606;91.0;14/03/2020
2469;1032411;4318;4797603;17.0;05/05/2020
2284;1032417;1482;5195602;19.0;21/08/2020
2398;1032426;4597;2185878;89.0;22/09/2020
2890;1032433;1307;8696315;20.0;08/07/2020
2350;1032441;3323;6360316;58.0;04/08/2020
2066;1032444;4294;4485360;58.0;14/02/2020
2810;1032450;4095;3435331;58.0;27/10/2020
2559;1032455;4674;6796072;95.0;22/11/2020
2145;1032458;3880;4793152;57.0;19/09/2020
2083;1032464;3822;6941240;11.0;27/12/2020
2737;1032473;4645;4701699;6.0;10/09/2020
2058;1032476;3613;2697387;60.0;04/03/2020
2693;1032477;3400;7824056;70.0;27/12/2020
2437;1032487;2445;8784205;56.0;04/01/2020
2403;1032489;3530;7105466;73.0;11/07/2020
2990;1032497;4078;4037494;99.0;15/07/2020
2171;1032500;2817;2751555;5.0;15/11/2020
2597;1032508;4665;6720822;51.0;21/08/2020
2237;1032518;3708;2075461;88.0;21/10/2020
2229;1032523;3246;8598708;57.0;24/03/2020
2654;1032525;2841;1462357;40.0;04/05/2020
2214;1032532;4402;1385258;12.0;03/03/2020
2623;1032539;1428;8430542;73.0;05/10/2020
2858;1032548;4461;8288019;9.0;10/04/2020
2277;1032556;1581;4208501;32.0;22/05/2020
2594;1032564;2341;5427190;84.0;20/04/2020
2581;1032567;1630;7813575;86.0;05/09/2020
2956;1032576;1300;2945082;24.0;16/05/2020
2652;1032580;4885;3020532;33.0;20/10/2020
2277;1032588;2932;7694539;21.0;04/08/2020
2081;1032597;2011;6803148;85.0;06/02/2020
2634;1032599;3188;5759578;1.0;24/09/2020
2762;1032603;1373;8710682;13.0;09/03/2020
2619;1032613;4371;7028539;50.0;11/05/2020
2433;1032621;4171;5171497;16.0;15/10/2020
2716;1032623;1992;4838175;83.0;08/10/2020
2516;1032633;4112;7411104;52.0;12/01/2020
2685;1032637;4459;5977229;71.0;12/03/2020
2838;1032646;4610;2406720;9.0;01/09/2020
2201;1032647;4219;2879805;10.0;31/12/2020
2912;1032653;4314;7648208;100.0;06/07/2020
2867;1032658;4392;8851706;94.0;10/01/2020
2629;1032659;2859;3161853;50.0;26/04/2020
2899;1032664;3116;7452352;39.0;04/12/2020
2282;1032668;4072;1367459;70.0;29/12/2020
2034;1032675;2032;2998328;77.0;26/10/2020
2781;1032685;2796;9178921;47.0;17/09/2020
2353;1032692;3122;7474872;2.0;01/08/2020
2505;1032699;1233;2695677;42.0;19/03/2020
2046;1032708;3362;1612994;59.0;08/12/2020
2635;1032714;3174;4648583;37.0;20/03/2020
2933;1032718;2621;8617427;22.0;16/03/2020
2230;1032725;2197;6164508;42.0;10/08/2020
2482;1032729;1806;8746394;4.0;16/07/2020
2680;1032731;3768;2824689;60.0;05/12/2020
2840;1032735;4870;5385831;82.0;10/11/2020
2203;1032736;4337;2610510;26.0;08/03/2020
2744;1032745;3757;3247643;67.0;16/06/2020
2335;1032755;3538;9222547;77.0;17/08/2020
2293;1032762;2899;6021493;85.0;05/02/2020
2156;1032765;4570;9035560;93.0;13/10/2020
2217;1032770;1415;5115379;51.0;25/10/2020
2578;1032774;1696;5527861;79.0;19/06/2020
2907;1032778;2689;8943512;50.0;22/01/2020
2132;1032783;4564;6966865;73.0;22/03/2020
2239;1032787;3325;2523815;34.0;01/03/2020
2192;1032794;1051;3581617;84.0;19/01/2020
2475;1032796;1724;4759290;39.0;06/05/2020
2819;1032806;1873;3045124;77.0;03/10/2020
2858;1032816;1174;2033855;56.0;24/11/2020
2909;1032826;3595;8231993;21.0;02/06/2020
2503;1032833;1717;3100871;66.0;26/05/2020
2787;1032843;1742;9294196;67.0;22/06/2020
2593;1032853;2943;6691214;15.0;24/01/2020
2573;1032862;2861;1728097;8.0;28/09/2020
2959;1032868;1899;7340201;38.0;14/03/2020
2844;1032872;4314;7587805;98.0;06/07/2020
2821;1032873;1288;2113540;19.0;04/01/2020
2130;1032874;1794;4964093;15.0;05/04/2020
2042;1032884;1858;1870556;71.0;10/07/2020
2365;1032887;3950;4639534;35.0;28/01/2020
2788;1032890;2048;4104620;88.0;30/04/2020
2275;1032893;1546;2338993;99.0;17/07/2020
2261;1032898;3398;4253652;83.0;16/09/2020
2972;1032900;2784;5786604;97.0;20/06/2020
2841;1032906;1257;4372393;78.0;09/09/2020
2049;1032916;2301;7335387;83.0;19/11/2020
2534;1032917;2178;9122829;17.0;30/06/2020
2263;1032920;4998;3912830;83.0;02/03/2020
2453;1032927;3901;4278920;8.0;05/06/2020
2242;1032931;1238;2324545;18.0;08/05/2020
2302;1032935;2519;6522691;89.0;21/01/2020
2958;1032942;2632;8734839;64.0;31/12/2020
2930;1032950;4368;9249557;2.0;11/12/2020
2533;1032960;3238;5992298;44.0;03/03/2020
2864;1032963;3765;6343407;66.0;04/02/2020
2028;1032969;1978;8950512;62.0;09/06/2020
2673;1032975;3766;9325161;4.0;15/07/2020
2427;1032984;2790;5990256;13.0;13/01/2020
2737;1032993;3688;3602103;83.0;14/04/2020
2768;1033000;1439;5247317;92.0;25/09/2020
2468;1033009;3811;8937217;48.0;08/07/2020
2061;1033017;3617;6074490;41.0;24/11/2020
2918;1033025;2141;7151844;14.0;26/12/2020
2863;1033031;3855;3568822;60.0;03/02/2020
2289;1033036;1262;8111406;26.0;09/05/2020
2815;1033043;1284;7392809;32.0;04/10/2020
2692;1033050;2032;1675163;6.0;20/10/2020
2029;1033055;1062;7581287;59.0;02/05/2020
2846;1033058;3628;4252235;69.0;08/03/2020
2366;1033067;3436;6059663;53.0;01/05/2020
2856;1033077;1994;4647498;40.0;20/08/2020
2693;1033078;2136;4694885;9.0;29/05/2020
2896;1033086;2419;7894990;82.0;25/07/2020
2284;1033096;2426;9084240;12.0;01/12/2020
2131;1033099;4773;1573070;52.0;24/11/2020
2991;1033104;3321;6998184;11.0;18/11/2020
2573;1033109;3012;8580527;8.0;28/06/2020
2152;1033113;2486;5926910;26.0;07/04/2020
2724;1033122;3209;8393270;64.0;03/03/2020
2772;1033131;2939;3494918;56.0;02/11/2020
2181;1033134;1342;3737698;47.0;03/01/2020
2066;1033144;4287;8017410;62.0;07/11/2020
2992;1033149;4147;5141537;36.0;20/05/2020
2227;1033157;1148;7776459;54.0;13/01/2020
2968;1033164;1592;1529227;61.0;24/03/2020
2241;1033167;1067;4969799;38.0;07/04/2020
2919;1033176;3731;1776161;22.0;23/02/2020
2813;1033180;1633;3577484;39.0;14/09/2020
2960;1033189;4847;5373335;55.0;29/01/2020
2224;1033198;4696;6186738;11.0;21/06/2020
2454;1033204;4276;6770662;67.0;17/12/2020
2592;1033205;1340;3211248;40.0;22/11/2020
2610;1033213;1278;1775979;80.0;06/09/2020
2630;1033223;1875;2851801;17.0;13/09/2020
2166;1033226;1683;5296789;95.0;15/06/2020
2503;1033231;1802;5617605;23.0;14/01/2020
2736;1033237;3080;3630555;23.0;27/08/2020
2476;1033242;1927;1977443;46.0;31/07/2020
2549;1033244;2726;7246984;85.0;08/09/2020
2511;1033252;3794;8494808;50.0;24/03/2020
2302;1033259;4673;9014033;27.0;05/12/2020
2630;1033264;1787;7261375;26.0;06/07/2020
2224;1033266;2655;4860436;15.0;30/11/2020
2935;1033274;3650;3434073;11.0;19/01/2020
2073;1033277;3663;4267174;97.0;23/11/2020
2506;1033283;3841;1518413;50.0;20/12/2020
2915;1033291;3254;6398119;89.0;21/08/2020
2933;1033299;3283;6988453;31.0;23/07/2020
2837;1033301;4342;4655625;63.0;03/11/2020
2106;1033305;4476;5357876;18.0;10/06/2020
2009;1033308;4851;6488323;74.0;06/01/2020
2526;1033311;4373;4135320;66.0;12/05/2020
2352;1033315;1499;1815439;30.0;07/11/2020
