shopid;buyerid;register_date;country
2786;2425;30/08/2018;SG
2603;3207;12/05/2018;MY
2776;2574;23/06/2018;SG
2911;3315;25/12/2021;MY
2749;1659;25/11/2021;ID
2279;1912;23/10/2018;ID
2097;3920;10/10/2018;MY
2932;3993;22/01/2020;MY
2025;2575;21/11/2018;SG
2458;2916;30/07/2018;SG
2715;1477;27/12/2021;ID
2979;3632;19/08/2020;MY
2207;2731;07/02/2021;SG
2045;1809;01/01/2020;ID
2081;2444;07/12/2018;SG
2834;3046;28/11/2018;MY
2516;3505;19/03/2019;MY
2307;1580;03/07/2018;ID
2077;1484;03/05/2020;ID
2332;4802;03/03/2018;SZ
2472;4699;03/12/2018;SZ
2183;2273;02/01/2018;SG
2051;3375;29/05/2019;MY
2068;4489;03/08/2018;PH
2290;4879;26/02/2018;SZ
2151;4803;16/04/2021;SZ
2977;1705;25/12/2019;ID
2672;1018;23/08/2021;ID
2366;2082;14/05/2018;SG
2841;3196;14/06/2020;MY
2933;2911;03/01/2018;SG
2948;2081;12/08/2019;SG
2585;4694;24/04/2021;SZ
2026;3649;14/09/2019;MY
2594;4263;30/04/2018;PH
2790;4911;19/11/2018;SZ
2708;1505;05/09/2020;ID
2921;1655;12/04/2018;ID
2327;2030;23/11/2020;SG
2988;4168;16/11/2020;PH
2001;2626;07/07/2021;SG
2793;3249;29/04/2018;MY
2825;3667;19/03/2019;MY
2279;3048;18/02/2018;MY
2022;4646;29/09/2018;SZ
2644;4525;21/11/2021;SZ
2215;2364;30/10/2018;SG
2025;3541;23/06/2018;MY
2840;4251;13/01/2018;PH
2237;2698;04/05/2020;SG
2788;1619;21/08/2018;ID
2750;3817;25/11/2018;MY
2376;2885;28/01/2019;SG
2431;3157;07/01/2020;MY
2533;2426;11/10/2020;SG
2783;3905;05/08/2020;MY
2526;3609;31/03/2020;MY
2655;1056;10/12/2021;ID
2038;2318;19/02/2019;SG
3000;2765;20/01/2021;SG
2850;1592;03/04/2019;ID
2148;2006;10/05/2019;SG
2791;4885;14/10/2021;SZ
2712;2002;15/04/2020;SG
2426;4407;26/09/2021;PH
2619;1522;02/04/2021;ID
2287;3112;14/07/2019;MY
2598;2324;20/03/2019;SG
2636;3909;04/12/2021;MY
2562;4046;27/03/2021;PH
2471;2002;31/10/2019;SG
2667;2495;04/12/2020;SG
2721;4918;29/03/2018;SZ
2068;3243;26/10/2019;MY
2232;3085;14/05/2018;MY
2367;1708;29/04/2021;ID
2835;4034;20/03/2019;PH
2269;3495;20/02/2021;MY
2348;3055;27/03/2019;MY
2163;2106;22/07/2020;SG
2747;3791;24/05/2020;MY
2376;1901;14/12/2018;ID
2008;4944;08/02/2020;SZ
2663;4587;09/05/2018;SZ
2446;1141;22/02/2019;ID
2401;3946;03/08/2021;MY
2092;2826;21/08/2021;SG
2779;1032;17/02/2019;ID
2067;1125;01/10/2019;ID
2079;4198;14/01/2018;PH
2398;3272;01/04/2018;MY
2820;4698;09/11/2019;SZ
2669;4597;03/09/2019;SZ
2183;2553;23/02/2019;SG
2798;4291;08/06/2018;PH
2276;1514;13/10/2021;ID
2430;1396;24/01/2019;ID
2245;4773;23/04/2020;SZ
2350;4088;17/03/2020;PH
2513;3058;02/11/2019;MY
2528;4229;11/10/2019;PH
2084;4274;05/04/2021;PH
2879;1655;24/09/2020;ID
2949;4434;04/04/2019;PH
2053;1562;21/09/2019;ID
2956;2585;27/03/2019;SG
2801;3636;26/06/2021;MY
2678;4890;16/08/2020;SZ
2535;2881;10/02/2018;SG
2053;3873;10/01/2021;MY
2284;1047;17/02/2021;ID
2518;4815;10/10/2020;SZ
2045;2847;06/02/2019;SG
2756;1691;21/01/2019;ID
2583;2683;28/04/2020;SG
2829;3208;29/11/2021;MY
2749;2807;14/11/2018;SG
2818;1504;22/12/2019;ID
2729;1126;21/04/2019;ID
2013;3888;03/01/2019;MY
2359;3668;12/07/2021;MY
2563;2026;15/10/2020;SG
2103;2640;20/10/2020;SG
2306;2907;29/01/2018;SG
2535;2644;19/08/2018;SG
2028;4969;22/12/2021;SZ
2476;3240;19/05/2020;MY
2801;4124;06/06/2020;PH
2914;4122;29/05/2019;PH
2842;2996;25/10/2021;SG
2459;4438;04/02/2020;PH
2916;1447;04/01/2018;ID
2110;4183;31/07/2019;PH
2452;1709;01/01/2020;ID
2951;1285;23/12/2019;ID
2084;4439;30/08/2018;PH
2480;4196;02/08/2020;PH
2886;3870;29/05/2021;MY
2903;3918;16/08/2019;MY
2317;2376;27/03/2018;SG
2909;4576;25/12/2018;SZ
2862;1650;18/05/2019;ID
2421;4548;20/03/2018;SZ
2944;4708;11/06/2018;SZ
2076;1659;17/12/2019;ID
2777;3797;13/02/2018;MY
2308;3336;11/04/2018;MY
2928;3775;15/01/2021;MY
2470;1398;13/08/2020;ID
2779;4467;10/08/2020;PH
2973;4066;23/11/2019;PH
2957;1323;22/07/2020;ID
2663;1150;12/12/2021;ID
2737;2872;28/10/2018;SG
2312;4538;12/08/2020;SZ
2025;2033;28/04/2021;SG
2326;1743;23/01/2020;ID
2307;3337;02/05/2020;MY
2966;3549;05/12/2021;MY
2152;3152;09/01/2021;MY
2666;1501;08/09/2021;ID
2106;2884;10/01/2019;SG
2985;4315;25/11/2021;PH
2760;2047;19/12/2019;SG
2158;1902;15/12/2020;ID
2340;2368;20/01/2018;SG
2227;4280;17/08/2018;PH
2312;2972;05/01/2018;SG
2384;1840;12/05/2019;ID
2870;3988;29/01/2020;MY
2035;3174;13/08/2019;MY
2328;3049;10/09/2020;MY
2083;1288;15/04/2018;ID
2912;4914;26/10/2021;SZ
2107;4870;16/08/2020;SZ
2706;1848;28/10/2018;ID
2607;4003;30/10/2021;PH
2814;3027;20/08/2018;MY
2598;2273;14/09/2018;SG
2237;1236;11/07/2020;ID
2576;3959;09/02/2018;MY
2492;2845;09/06/2020;SG
2270;4306;17/07/2020;PH
2961;4602;03/07/2021;SZ
2145;1054;17/01/2019;ID
2406;3898;09/11/2020;MY
2050;4180;21/12/2020;PH
2634;3900;25/12/2019;MY
2425;3203;13/07/2021;MY
2920;2272;05/09/2018;SG
2757;1971;20/06/2021;ID
2073;1895;01/02/2021;ID
2766;4166;04/02/2021;PH
2487;3990;06/10/2021;MY
2595;1909;16/11/2020;ID
2426;3693;22/03/2020;MY
2131;1156;27/01/2020;ID
2882;2517;13/02/2021;SG
2281;4861;29/01/2021;SZ
2134;4059;28/02/2021;PH
2398;1156;17/10/2019;ID
2344;4404;27/02/2018;PH
2563;4037;06/12/2020;PH
2294;2839;23/01/2020;SG
2409;3347;24/07/2019;MY
2616;4177;20/02/2019;PH
2736;1535;18/02/2019;ID
2861;3172;14/12/2020;MY
2052;1071;28/10/2021;ID
2944;2268;10/08/2018;SG
2333;4421;19/05/2021;PH
2301;2193;04/12/2020;SG
2661;3880;28/09/2020;MY
2639;4995;22/09/2018;SZ
2715;4915;17/03/2018;SZ
2726;3626;27/10/2018;MY
2281;3104;04/06/2018;MY
2829;4947;28/07/2021;SZ
2156;1644;17/04/2018;ID
2165;1585;19/10/2021;ID
2423;4654;29/08/2021;SZ
2272;3830;04/02/2018;MY
2391;1556;21/05/2019;ID
3000;1487;09/06/2019;ID
2995;3828;04/05/2019;MY
2741;4950;14/10/2018;SZ
2106;1410;08/04/2019;ID
2736;4205;04/12/2020;PH
2619;2695;07/07/2021;SG
2902;1868;30/03/2021;ID
2679;3896;03/08/2019;MY
2154;4890;27/09/2020;SZ
2483;2133;16/02/2018;SG
2576;3844;19/05/2021;MY
2449;1286;26/04/2021;ID
2930;3000;28/11/2018;MY
2792;3100;05/01/2020;MY
2319;1488;25/10/2020;ID
2736;3779;04/06/2019;MY
2123;3542;25/03/2020;MY
2347;4170;18/03/2021;PH
2740;1773;04/05/2019;ID
2702;1727;14/01/2019;ID
2987;3318;10/08/2021;MY
2118;2846;28/04/2018;SG
2753;3314;11/06/2021;MY
2640;2563;06/09/2019;SG
2631;1316;16/10/2020;ID
2990;3399;13/06/2020;MY
2109;4804;13/07/2020;SZ
2558;4803;10/12/2018;SZ
2642;1082;18/07/2018;ID
2898;2432;18/09/2018;SG
2372;3221;27/04/2021;MY
2540;3361;06/08/2019;MY
2783;2196;14/02/2019;SG
2849;3065;03/06/2020;MY
2114;3401;21/07/2019;MY
2629;2034;05/11/2018;SG
2664;2726;15/12/2019;SG
2315;4135;10/05/2018;PH
2682;4167;05/05/2021;PH
2952;1448;05/04/2018;ID
2504;3351;13/08/2020;MY
2228;1577;14/02/2019;ID
2625;4350;09/09/2018;PH
2094;2341;10/09/2018;SG
2232;1680;16/02/2020;ID
2156;2850;29/05/2020;SG
2586;1943;04/04/2019;ID
2351;4362;03/04/2021;PH
2607;4886;20/11/2021;SZ
2134;4103;23/05/2020;PH
2757;4251;28/06/2020;PH
2147;3331;06/02/2021;MY
2436;1477;09/06/2018;ID
2871;2156;22/06/2019;SG
2895;4073;08/10/2021;PH
2599;4813;01/03/2019;SZ
2224;2590;29/01/2020;SG
2266;2469;25/01/2019;SG
2108;3740;26/04/2018;MY
2835;2234;10/06/2020;SG
2262;1440;11/03/2019;ID
2747;2014;15/12/2021;SG
2716;3946;26/09/2018;MY
2622;1501;07/12/2020;ID
2209;1706;03/07/2018;ID
2550;2064;15/01/2019;SG
2697;3020;18/07/2020;MY
2994;1303;23/11/2019;ID
2134;1922;12/08/2021;ID
2944;2460;23/07/2019;SG
2944;1927;20/06/2018;ID
2304;2735;04/07/2020;SG
2091;2094;04/08/2019;SG
2442;1417;11/01/2021;ID
2379;2273;01/07/2019;SG
2051;1180;27/06/2020;ID
2145;1181;12/02/2019;ID
2976;4831;20/01/2021;SZ
2636;3764;05/11/2018;MY
2819;4668;04/12/2020;SZ
2532;4188;07/08/2019;PH
2859;1446;11/09/2021;ID
2785;4992;31/08/2018;SZ
2435;4863;27/06/2020;SZ
2856;1878;09/06/2021;ID
2433;4028;27/09/2018;PH
2198;4335;30/08/2020;PH
2230;4144;12/05/2019;PH
2703;4273;22/09/2021;PH
2815;3008;22/11/2020;MY
2616;1962;06/11/2019;ID
2157;4597;28/11/2020;SZ
2966;2588;21/04/2019;SG
2454;2669;05/10/2021;SG
2333;3928;18/06/2018;MY
2203;1742;05/05/2020;ID
2922;1688;19/04/2018;ID
2539;1698;12/08/2020;ID
2866;4527;27/08/2020;SZ
2098;3786;31/08/2021;MY
2873;4607;25/07/2018;SZ
2562;1330;01/07/2018;ID
2117;2710;21/01/2020;SG
2534;2673;22/07/2020;SG
2034;2001;04/12/2019;SG
2624;3224;04/04/2019;MY
2468;1931;16/12/2020;ID
2279;1288;07/02/2018;ID
2170;2554;31/12/2020;SG
2253;3783;21/12/2020;MY
2339;1543;01/02/2020;ID
2664;1814;22/10/2021;ID
2514;3036;23/10/2019;MY
2958;2443;11/12/2020;SG
2517;3684;20/04/2020;MY
2045;3686;16/09/2019;MY
2630;4318;12/10/2021;PH
2655;1482;05/04/2019;ID
2568;4597;02/04/2019;SZ
2391;1307;30/04/2018;ID
2471;3323;30/09/2020;MY
2758;4294;13/05/2019;PH
2666;4095;22/08/2020;PH
2493;4674;27/09/2018;SZ
2565;3880;16/11/2020;MY
2582;3822;06/12/2018;MY
2231;4645;31/12/2019;SZ
2806;3613;19/08/2021;MY
2400;3400;25/06/2019;MY
2794;2445;23/12/2018;SG
2690;3530;25/11/2018;MY
2128;4078;04/11/2019;PH
2263;2817;16/09/2020;SG
2266;4665;17/09/2018;SZ
2200;3708;15/06/2019;MY
2690;3246;28/10/2019;MY
2886;2841;19/12/2019;SG
2463;4402;08/01/2019;PH
2030;1428;24/07/2021;ID
2640;4461;20/03/2019;PH
2952;1581;21/05/2019;ID
2971;2341;29/10/2020;SG
2761;1630;07/02/2020;ID
2388;1300;09/03/2021;ID
2214;4885;30/05/2018;SZ
2777;2932;26/12/2021;SG
2232;2011;24/10/2019;SG
2113;3188;06/05/2019;MY
2756;1373;19/10/2020;ID
2360;4371;08/03/2021;PH
2899;4171;27/09/2018;PH
2738;1992;09/03/2019;ID
2098;4112;29/06/2020;PH
2937;4459;24/08/2021;PH
2269;4610;07/12/2021;SZ
2389;4219;20/12/2019;PH
2902;4314;28/04/2019;PH
2856;4392;18/05/2020;PH
2719;2859;01/03/2019;SG
2812;3116;31/12/2019;MY
2025;4072;17/06/2020;PH
2670;2032;12/02/2021;SG
2643;2796;11/03/2021;SG
2755;3122;14/08/2019;MY
2038;1233;20/04/2018;ID
2396;3362;23/10/2020;MY
2224;3174;15/03/2019;MY
2361;2621;07/04/2019;SG
2945;2197;03/03/2020;SG
2472;1806;07/04/2021;ID
2213;3768;16/09/2020;MY
2282;4870;16/12/2021;SZ
2875;4337;04/08/2018;PH
2962;3757;16/12/2018;MY
2990;3538;11/05/2019;MY
2365;2899;27/03/2019;SG
2776;4570;03/12/2020;SZ
2464;1415;19/11/2021;ID
2338;1696;20/08/2019;ID
2232;2689;25/01/2018;SG
2403;4564;12/12/2018;SZ
2929;3325;28/05/2019;MY
2237;1051;05/08/2019;ID
2686;1724;29/06/2020;ID
2799;1873;30/03/2018;ID
2334;1174;17/11/2018;ID
2771;3595;21/12/2020;MY
2941;1717;24/06/2019;ID
2272;1742;28/07/2019;ID
2954;2943;11/05/2021;SG
2880;2861;24/11/2020;SG
2460;1899;08/11/2021;ID
2461;4314;22/08/2020;PH
2341;1288;01/01/2020;ID
2827;1794;05/12/2021;ID
2852;1858;15/12/2020;ID
2595;3950;19/09/2018;MY
2653;2048;03/01/2020;SG
2232;1546;24/05/2019;ID
2541;3398;25/01/2018;MY
2734;2784;05/02/2021;SG
2173;1257;18/01/2020;ID
2489;2301;06/01/2020;SG
2877;2178;25/12/2018;SG
2750;4998;12/05/2020;SZ
2101;3901;08/10/2019;MY
2168;1238;22/01/2019;ID
2707;2519;23/03/2019;SG
2469;2632;18/07/2018;SG
2929;4368;30/05/2021;PH
2318;3238;05/04/2021;MY
2535;3765;19/10/2019;MY
2177;1978;04/05/2021;ID
2519;3766;14/08/2020;MY
2256;2790;27/05/2019;SG
2881;3688;04/02/2021;MY
2722;1439;30/06/2018;ID
2398;3811;06/01/2020;MY
2052;3617;02/12/2020;MY
2905;2141;04/09/2018;SG
2364;3855;23/06/2020;MY
2943;1262;04/03/2020;ID
2766;1284;30/06/2021;ID
2852;2032;21/02/2018;SG
2278;1062;03/01/2020;ID
2510;3628;12/06/2018;MY
2063;3436;15/08/2018;MY
2431;1994;25/04/2018;ID
2742;2136;26/06/2021;SG
2939;2419;01/07/2021;SG
2512;2426;20/10/2019;SG
2273;4773;07/10/2020;SZ
2474;3321;05/11/2019;MY
2284;3012;20/09/2020;MY
2602;2486;01/10/2020;SG
2319;3209;30/09/2018;MY
2980;2939;10/12/2020;SG
2784;1342;14/07/2018;ID
2865;4287;22/07/2018;PH
2439;4147;18/04/2021;PH
2669;1148;28/04/2020;ID
2632;1592;06/12/2020;ID
2124;1067;05/03/2019;ID
2360;3731;04/07/2019;MY
2796;1633;13/02/2019;ID
2015;4847;14/03/2021;SZ
2052;4696;23/03/2020;SZ
2202;4276;02/06/2021;PH
2389;1340;30/07/2019;ID
2513;1278;01/01/2019;ID
2378;1875;17/12/2020;ID
2387;1683;11/11/2021;ID
2846;1802;04/08/2021;ID
2541;3080;21/05/2020;MY
2923;1927;21/11/2018;ID
2949;2726;02/04/2018;SG
2948;3794;06/07/2021;MY
2760;4673;08/02/2018;SZ
2463;1787;14/12/2018;ID
2261;2655;03/09/2019;SG
2319;3650;06/09/2018;MY
2634;3663;29/09/2020;MY
2809;3841;28/03/2019;MY
2471;3254;23/07/2019;MY
2899;3283;24/12/2020;MY
2270;4342;09/01/2019;PH
2695;4476;22/03/2021;PH
2413;4851;14/10/2020;SZ
2159;4373;12/02/2020;PH
2410;1499;31/08/2019;ID
2203;1328;16/05/2018;ID
2122;3683;14/01/2021;MY
2861;1516;22/07/2020;ID
2828;4976;03/01/2021;SZ
2318;2237;15/01/2020;SG
2678;1055;03/04/2021;ID
2861;2089;17/11/2018;SG
2702;1119;26/08/2020;ID
2948;4529;13/03/2018;SZ
2974;4787;13/08/2018;SZ
2060;1753;10/03/2020;ID
2930;4923;22/06/2018;SZ
2398;3174;12/08/2019;MY
2445;3948;17/07/2018;MY
2044;4067;22/10/2018;PH
2067;4882;04/11/2021;SZ
2260;3275;16/09/2019;MY
2657;4409;15/03/2019;PH
2434;3436;19/03/2019;MY
2489;1921;13/08/2020;ID
2595;4553;17/06/2019;SZ
2781;4025;11/07/2021;PH
2313;2817;19/03/2020;SG
2098;3238;04/07/2019;MY
2045;4598;25/02/2019;SZ
2127;5000;28/02/2021;SZ
2246;2639;04/05/2019;SG
2462;1593;02/04/2020;ID
2173;3669;20/04/2020;MY
2809;4964;09/09/2020;SZ
2763;1795;20/07/2018;ID
2277;1663;11/01/2018;ID
2610;1934;11/04/2019;ID
2570;4714;11/10/2021;SZ
2892;2313;20/07/2018;SG
2113;4738;11/08/2020;SZ
2938;3249;18/05/2019;MY
2673;3961;16/02/2021;MY
2999;4721;09/10/2018;SZ
2409;4651;19/05/2018;SZ
2861;1229;18/08/2019;ID
2780;3611;28/02/2018;MY
2515;1483;23/12/2018;ID
2029;4258;19/02/2020;PH
2492;1969;07/03/2020;ID
2614;4203;17/07/2020;PH
2897;1261;27/11/2019;ID
2149;2521;04/03/2020;SG
2848;2073;09/11/2019;SG
2755;3889;10/09/2020;MY
2187;3456;25/02/2018;MY
2338;2512;07/07/2019;SG
2292;4749;07/09/2018;SZ
2701;2902;09/10/2020;SG
2370;1441;26/08/2021;ID
2781;1033;29/05/2020;ID
2677;4666;10/05/2020;SZ
2843;1301;01/10/2021;ID
2670;4708;17/11/2021;SZ
2495;3266;22/01/2021;MY
2266;3925;01/02/2020;MY
2593;1190;24/01/2021;ID
2184;4818;27/07/2021;SZ
2987;2720;23/06/2019;SG
2402;2643;06/05/2021;SG
2423;3196;16/07/2020;MY
2307;2422;08/04/2020;SG
2471;4925;26/05/2020;SZ
2380;1034;29/07/2021;ID
2275;3225;09/11/2018;MY
2497;4009;12/01/2021;PH
2138;4333;25/02/2019;PH
2619;2821;17/01/2021;SG
2884;4960;06/11/2018;SZ
2013;3242;22/04/2021;MY
2880;1781;04/12/2019;ID
2632;3062;27/10/2020;MY
2622;4101;14/09/2021;PH
2743;1687;23/08/2018;ID
2285;4573;21/05/2021;SZ
2247;2762;11/03/2020;SG
2113;4608;17/12/2020;SZ
2418;2776;01/11/2020;SG
2799;2640;22/11/2019;SG
2966;3766;31/08/2020;MY
2829;3019;28/09/2021;MY
2420;4102;19/11/2021;PH
2643;1024;18/10/2018;ID
2840;3814;30/04/2021;MY
2604;1796;31/01/2019;ID
2614;1718;22/04/2019;ID
2420;4636;29/12/2019;SZ
2806;3079;14/01/2021;MY
2052;4333;21/04/2021;PH
2044;2409;06/12/2020;SG
2893;3409;26/08/2019;MY
2163;2082;16/12/2021;SG
2995;1667;21/04/2018;ID
2852;1315;09/03/2020;ID
2738;4396;25/02/2019;PH
2954;3772;12/02/2021;MY
2330;1382;30/05/2019;ID
2959;3765;02/02/2018;MY
2955;3080;05/04/2018;MY
2662;3460;18/01/2020;MY
2057;2629;13/09/2020;SG
2272;4351;24/11/2018;PH
2589;2746;31/03/2018;SG
2482;4330;04/06/2020;PH
2690;3257;13/05/2020;MY
2696;2370;13/11/2021;SG
2962;4179;21/01/2018;PH
2574;2734;06/08/2020;SG
2479;4920;23/03/2018;SZ
2331;3072;12/05/2020;MY
2476;1064;20/02/2018;ID
2189;1186;20/10/2021;ID
2823;4143;01/04/2021;PH
2589;4322;18/05/2021;PH
2606;4108;04/11/2021;PH
2074;3406;31/05/2021;MY
2899;3272;08/07/2021;MY
2143;1153;04/02/2021;ID
2969;3507;17/07/2021;MY
2709;3700;30/08/2021;MY
2892;2876;13/07/2021;SG
2497;4693;29/06/2018;SZ
2459;4763;11/08/2021;SZ
2463;2882;06/08/2020;SG
2225;3708;18/07/2019;MY
2628;4109;03/11/2019;PH
2922;3274;27/03/2020;MY
2320;4735;06/12/2021;SZ
2967;3806;05/04/2018;MY
2561;1777;21/05/2019;ID
2013;4787;18/01/2021;SZ
2756;2896;29/09/2020;SG
2753;4380;25/08/2018;PH
2485;3148;08/08/2019;MY
2141;3120;17/03/2020;MY
2517;4604;11/03/2021;SZ
2814;2576;29/12/2019;SG
2265;2531;19/08/2018;SG
2385;3935;01/06/2019;MY
2760;3903;17/05/2019;MY
2211;2378;01/10/2020;SG
2945;2379;05/01/2020;SG
2579;1916;22/11/2018;ID
2862;4947;29/09/2021;SZ
2067;3161;23/12/2018;MY
2354;3585;08/08/2019;MY
2669;1693;03/03/2021;ID
2185;3769;09/03/2018;MY
2192;1175;16/04/2018;ID
2113;2857;23/02/2019;SG
2642;3246;19/12/2021;MY
2721;2959;16/12/2018;SG
2403;4155;08/06/2021;PH
2209;1140;22/02/2020;ID
2448;1241;25/01/2018;ID
2861;2469;18/07/2020;SG
2485;4428;16/01/2019;PH
2862;3758;31/07/2019;MY
2255;1077;19/02/2020;ID
2646;3165;30/08/2018;MY
2420;3047;17/08/2020;MY
2622;3764;29/06/2020;MY
2866;2377;29/11/2020;SG
2710;2066;29/02/2020;SG
2399;1949;25/10/2020;ID
2695;3164;05/03/2020;MY
2440;2033;17/02/2018;SG
2791;3786;05/04/2020;MY
2151;1474;19/12/2021;ID
2282;3387;07/11/2021;MY
2295;4872;14/06/2018;SZ
2032;1765;18/03/2020;ID
2397;1566;14/05/2021;ID
2200;3340;30/03/2019;MY
2442;3671;21/12/2021;MY
2313;4816;01/09/2021;SZ
2542;2390;22/02/2019;SG
2258;4168;07/05/2020;PH
2669;4089;12/11/2021;PH
2638;2694;13/08/2021;SG
2304;1876;18/11/2018;ID
2765;3168;24/01/2018;MY
2785;4078;15/02/2021;PH
2499;2361;07/03/2021;SG
2142;2086;27/02/2018;SG
2468;2490;03/04/2018;SG
2501;3139;26/01/2019;MY
2994;2317;20/05/2019;SG
2346;1293;31/01/2018;ID
2813;4178;24/06/2019;PH
2549;2919;20/05/2021;SG
2926;3966;14/01/2018;MY
2313;2990;02/03/2019;SG
2864;3462;27/12/2018;MY
2001;2565;26/10/2021;SG
2009;4846;11/09/2021;SZ
2621;1472;11/03/2018;ID
2021;4019;30/08/2021;PH
2479;2681;20/03/2018;SG
2744;1537;28/12/2021;ID
2961;4407;07/03/2021;PH
2239;2300;01/11/2019;SG
2557;2312;20/01/2019;SG
2022;3334;22/09/2018;MY
2262;4946;31/10/2021;SZ
2568;1450;17/02/2019;ID
2400;3763;21/11/2018;MY
2748;3838;12/04/2018;MY
2295;3510;14/10/2018;MY
2657;3804;22/02/2018;MY
2496;3057;14/06/2019;MY
2739;1218;15/06/2020;ID
2745;1669;04/12/2018;ID
2914;3908;12/01/2021;MY
2411;3090;31/10/2019;MY
2299;4638;05/09/2019;SZ
2526;4629;24/08/2018;SZ
2781;3483;23/04/2019;MY
2979;3342;18/04/2019;MY
2982;2738;26/06/2021;SG
2202;2959;22/11/2019;SG
2191;1816;01/09/2020;ID
2585;1370;28/01/2021;ID
2762;2652;22/11/2020;SG
2206;1582;02/10/2019;ID
2342;4884;26/06/2018;SZ
2138;1432;29/10/2020;ID
2103;3682;17/08/2019;MY
2980;3896;01/10/2018;MY
2054;1015;10/01/2021;ID
2310;3505;23/10/2021;MY
2031;4015;21/04/2018;PH
2945;2030;12/03/2021;SG
2127;1727;23/06/2020;ID
2844;2192;14/06/2020;SG
2184;2883;30/08/2019;SG
2142;3066;26/12/2018;MY
2028;1564;14/08/2019;ID
2984;1920;24/04/2019;ID
2466;3901;05/02/2019;MY
2838;2879;28/07/2021;SG
2013;3114;28/10/2021;MY
2662;2510;24/09/2018;SG
2936;1375;31/12/2018;ID
2445;4709;13/06/2018;SZ
2737;4213;05/09/2020;PH
2444;1504;08/07/2020;ID
2977;2588;16/11/2019;SG
2407;1559;04/06/2018;ID
2800;4749;02/02/2020;SZ
2384;1945;09/03/2021;ID
2379;3221;04/11/2020;MY
2067;1599;06/03/2020;ID
2367;4056;07/10/2020;PH
2164;2006;26/04/2019;SG
2869;1761;29/03/2018;ID
2981;4661;07/08/2018;SZ
2897;1732;24/02/2018;ID
2992;1246;06/08/2019;ID
2563;3188;19/12/2018;MY
2887;3428;24/03/2020;MY
2209;2691;20/07/2018;SG
2272;1129;02/01/2020;ID
2458;4202;02/07/2018;PH
2164;1047;09/11/2018;ID
2936;1326;08/10/2018;ID
2560;1834;08/06/2020;ID
2103;1016;24/06/2020;ID
2847;1069;10/08/2019;ID
2753;3085;03/06/2019;MY
2714;4625;11/07/2018;SZ
2645;2124;18/02/2019;SG
2645;3010;22/01/2019;MY
2832;2571;14/03/2020;SG
2183;2565;13/06/2020;SG
2686;4243;18/06/2020;PH
2771;4113;26/05/2021;PH
2373;3443;02/06/2021;MY
2169;3904;17/10/2020;MY
2292;1467;23/08/2020;ID
2285;2807;02/12/2021;SG
2185;2228;20/07/2020;SG
2290;2200;19/01/2018;SG
2208;2103;16/03/2019;SG
2398;3297;20/08/2021;MY
2964;2682;30/06/2018;SG
2691;4393;30/06/2019;PH
2825;4225;09/11/2020;PH
2174;2555;12/06/2021;SG
2831;1756;15/08/2018;ID
2505;2002;06/11/2019;SG
2201;2046;11/08/2019;SG
2404;2237;13/07/2019;SG
2128;1679;10/09/2020;ID
2241;4938;07/01/2020;SZ
2072;1037;10/07/2018;ID
2661;3073;14/02/2021;MY
2061;2193;24/11/2020;SG
2172;3075;28/07/2019;MY
2040;1322;27/04/2020;ID
2685;4366;17/11/2021;PH
2309;3649;05/10/2019;MY
2995;3780;10/11/2019;MY
