shopid;total_clicks;impressions;Item_views
2547;62;201;152
2626;31;178;158
2598;53;217;107
2865;70;288;137
2014;57;281;193
2427;58;170;109
2956;39;275;117
2622;51;291;102
2653;88;246;181
2140;25;298;178
2112;34;243;106
2615;9;233;180
2312;35;273;155
2258;76;262;124
2666;32;257;139
2349;16;176;121
2087;36;207;104
2919;34;233;172
2021;36;154;144
2292;39;259;132
2484;47;190;141
2522;70;235;183
2252;96;250;191
2438;15;231;108
2055;42;155;107
2101;28;164;166
2064;38;264;109
2771;74;176;171
2065;62;168;170
2998;62;226;120
2117;39;247;198
2425;15;226;188
2246;50;254;179
2136;27;293;145
2215;85;157;161
2906;35;189;147
2085;90;182;165
2219;88;292;167
2387;97;244;107
2132;18;263;189
2837;51;233;147
2975;92;194;105
2234;42;172;121
2758;42;185;193
2932;39;201;121
2364;3;197;146
2682;33;171;158
2540;22;253;197
2884;63;172;108
2561;21;172;189
2673;61;272;177
2595;83;272;198
2003;30;297;135
2096;57;194;144
2045;23;263;126
2995;22;197;151
2303;15;231;149
2592;55;297;136
2554;14;170;175
2550;74;194;173
2001;96;152;156
2400;26;186;127
2493;69;285;156
2881;9;194;133
2303;66;260;174
2048;52;281;109
2131;16;227;100
2499;88;193;100
2632;13;274;130
2387;36;284;156
2024;97;161;128
2797;66;256;191
2750;58;263;144
2911;91;198;174
2843;51;291;136
2062;84;258;186
2085;98;273;156
2414;74;188;112
2092;63;289;165
2206;86;202;181
2391;6;232;131
2114;96;276;128
2634;9;229;199
2293;11;218;151
2986;30;235;119
2420;3;259;111
2136;22;300;187
2387;18;245;125
2681;78;295;162
2013;38;271;148
2801;20;186;178
2660;43;284;110
2806;98;185;106
2243;43;202;114
2964;53;186;136
2454;7;236;105
2128;25;247;130
2367;52;215;149
2571;85;197;188
2742;22;239;189
2972;37;225;115
2744;69;292;171
2852;59;258;185
2636;29;208;149
2568;49;154;157
2558;19;255;149
2196;21;174;161
2159;50;193;192
2627;100;285;185
2003;34;290;192
2331;76;183;115
2311;60;246;134
2462;94;274;100
2540;27;196;152
2755;46;253;184
2050;89;286;156
2420;28;242;147
2355;24;178;114
2420;13;189;105
2070;5;159;101
2777;54;247;137
2087;88;174;140
2315;70;265;192
2095;55;294;162
2584;92;204;174
2590;16;158;124
2159;25;172;175
2279;82;236;168
2774;38;201;107
2609;98;217;140
2347;58;252;114
2657;72;204;147
2954;59;240;134
2117;66;220;188
2750;94;155;130
2086;8;173;104
2117;23;218;193
2998;35;273;109
2612;25;203;116
2278;99;262;150
2122;3;186;191
2429;7;267;139
2834;11;166;145
2733;8;210;200
2626;44;151;160
2033;37;253;182
2485;68;251;131
2886;77;254;166
2199;8;216;134
2300;62;280;168
2116;21;192;116
2665;19;290;106
2656;51;218;198
2791;59;272;112
2034;26;179;160
2533;6;283;185
2303;42;296;182
2394;87;157;125
2272;71;185;168
2694;52;207;131
2580;2;204;136
2225;64;265;151
2812;63;168;165
2179;76;248;139
2455;46;191;174
2230;47;256;109
2388;5;181;128
2262;22;300;168
2709;60;265;149
2940;31;210;136
2434;49;190;140
2525;88;286;159
2257;30;292;171
2350;72;181;153
2404;20;244;140
2252;85;274;147
2038;59;182;138
2146;34;239;194
2493;27;204;174
2793;13;216;198
2422;82;190;169
2775;88;276;141
2119;3;223;125
2306;67;274;136
2192;12;184;101
2484;59;235;159
2598;76;278;109
2190;5;226;180
2338;4;195;163
2384;97;268;186
2376;37;164;135
2645;17;183;108
2884;65;222;124
2910;28;252;155
2892;6;198;200
2796;24;292;126
2637;56;199;100
2661;70;183;148
2325;9;216;165
2228;15;260;175
2017;2;218;157
2389;73;220;153
2765;42;283;178
2039;42;254;117
2391;41;300;107
2718;63;265;134
2348;81;300;118
2096;14;285;121
2039;1;291;193
2656;92;276;176
2377;61;266;164
2951;63;270;127
2549;79;226;138
2201;58;232;131
2810;17;183;119
2745;85;278;124
2491;33;281;175
2760;23;223;124
2476;10;221;154
2696;64;269;153
2734;32;170;195
2934;46;269;107
2111;100;226;192
2697;90;200;112
2925;13;299;120
2079;47;163;101
2798;47;299;131
2790;68;250;159
2521;88;241;125
2186;60;181;181
2198;73;285;169
2105;7;270;138
2992;53;248;184
2617;50;226;176
2144;100;264;119
2223;50;287;182
2383;35;267;198
2229;53;169;145
2755;88;234;104
2394;10;205;136
2726;45;150;154
2183;65;232;183
2839;32;205;170
2985;23;238;102
2874;72;176;136
2767;14;195;188
2080;22;299;185
2581;57;170;112
2639;52;157;159
2597;35;246;100
2596;100;166;113
2186;71;188;121
2017;34;218;128
2201;25;166;155
2917;73;185;112
2305;53;279;188
2757;66;162;183
2381;58;180;197
2828;67;233;162
2033;37;227;137
2814;59;205;145
2227;18;162;130
2867;15;296;181
2206;51;162;102
2712;74;182;138
2638;90;209;134
2013;60;181;177
2158;49;172;199
2626;89;168;182
2362;10;248;176
2042;52;200;151
2002;40;285;147
2747;22;197;168
2510;25;251;169
2470;6;297;125
2282;64;188;135
2651;16;191;128
2838;1;216;172
2584;51;194;150
2154;12;251;150
2347;54;205;154
2391;81;196;194
2969;62;233;164
2876;97;206;111
2722;7;267;174
2283;11;177;134
2579;80;293;121
2489;9;284;127
2045;43;275;141
2962;16;270;166
2470;11;151;150
2394;58;275;167
2189;58;177;108
2070;40;204;199
2397;66;255;136
2211;66;215;127
2740;75;233;128
2800;56;170;165
2942;22;204;161
2972;69;254;184
2139;49;165;154
2971;64;199;183
2673;72;256;192
2464;100;296;161
2214;9;249;183
2637;29;202;106
2771;70;296;102
2965;93;204;124
2620;59;175;130
2535;96;233;179
2741;65;201;135
2964;53;241;110
2700;36;185;163
2405;76;298;109
2616;72;213;134
2883;3;227;192
2381;53;289;200
2924;93;214;195
2911;75;282;173
2601;21;273;142
2468;80;290;101
2436;85;193;111
2930;40;266;168
2634;79;257;154
2502;92;168;163
2846;22;190;106
2625;42;157;188
2481;97;153;125
2634;47;160;147
2530;24;268;166
2892;38;198;100
2994;51;295;175
2810;62;165;134
2691;100;187;100
2173;12;271;103
2906;46;195;182
2400;56;271;112
2864;93;158;164
2725;61;248;141
2165;81;285;182
2696;61;177;151
2491;47;240;142
2453;89;171;196
2062;88;281;106
2112;69;163;145
2433;86;183;177
2988;18;169;157
2918;50;219;182
2560;98;213;193
2269;50;259;167
2151;90;213;188
2252;42;153;178
2587;16;187;115
2696;56;295;171
2477;36;152;184
2082;50;267;139
2500;36;196;180
2976;72;202;133
2878;97;229;102
2378;58;274;101
2618;97;286;189
2103;86;243;148
2666;46;279;168
2397;69;284;110
2505;53;250;143
2066;66;297;105
2342;86;293;138
2387;92;289;106
2431;86;181;146
2147;34;208;145
2820;3;284;150
2494;69;171;187
2182;68;248;181
2631;54;185;194
2087;77;259;107
2158;7;280;169
2289;9;163;144
2336;91;224;107
2916;12;175;131
2994;26;242;115
2916;19;176;140
2476;5;285;159
2865;93;289;111
2329;92;262;116
2041;19;231;197
2356;2;198;167
2976;74;275;127
2181;93;170;152
2381;77;192;103
2015;70;194;140
2704;65;266;110
2980;15;252;178
2500;2;298;162
2782;8;168;103
2294;84;269;132
2140;100;217;199
2238;53;157;168
2436;14;238;149
2050;25;264;178
2267;2;198;182
2890;33;254;134
2271;97;261;150
2173;49;182;184
2889;29;291;100
2277;54;197;116
2050;82;222;123
2402;49;274;159
2469;4;297;148
2566;61;253;178
2992;63;163;175
2693;77;191;121
2840;82;187;189
2460;70;293;145
2996;50;187;105
2484;10;150;111
2012;52;266;178
2559;20;189;192
2083;9;151;187
2742;20;240;121
2521;48;232;167
2592;3;207;154
2797;70;262;101
2162;87;185;182
2242;43;160;194
2099;76;163;169
2051;53;262;194
2608;12;208;138
2917;66;159;152
2176;80;232;197
2470;58;270;157
2578;85;163;171
2373;74;295;189
2003;46;298;121
2266;22;262;106
2364;86;284;163
2444;8;235;146
2944;26;180;102
2692;35;180;197
2716;74;246;129
2224;75;237;140
2334;60;231;134
2242;39;180;176
2631;25;230;106
2856;4;228;187
2000;19;159;184
2150;68;184;182
2496;82;272;197
2944;76;246;171
2792;17;236;196
2321;57;201;163
2640;10;299;185
2308;30;299;188
2019;12;192;127
2784;39;283;105
2572;35;231;178
2177;49;237;122
2936;60;279;159
2353;77;238;141
2572;23;243;125
2654;59;151;106
2045;44;210;188
2206;35;186;194
2467;95;220;132
2911;14;282;188
2227;85;216;182
2879;16;293;106
2067;74;250;162
2001;79;203;166
2153;24;204;142
2324;71;253;184
2620;44;281;140
2406;10;221;186
2009;57;193;141
2400;16;180;176
2650;70;295;168
2971;21;261;120
2107;93;211;135
2506;49;243;185
2213;55;236;102
2638;15;299;150
2101;14;230;140
2473;50;184;108
2010;62;181;122
2105;99;228;165
2185;60;186;185
2511;18;181;125
2295;93;286;190
2398;85;273;137
2718;81;233;155
2480;58;281;140
2920;31;286;147
2728;23;280;170
2309;22;273;109
2121;74;198;102
2325;65;154;146
2019;40;291;101
2275;22;200;113
2513;52;279;164
2369;71;180;106
2661;75;241;172
2817;89;250;155
2395;53;247;142
2294;56;194;141
2556;42;200;133
2097;2;286;148
2464;27;285;108
2765;13;185;140
2302;34;232;191
2521;51;274;128
2558;60;244;112
2809;2;290;192
2525;23;201;191
2176;16;220;137
2932;79;230;188
2989;3;273;162
2172;58;173;113
2983;2;289;197
2935;69;244;106
2232;86;254;131
2560;99;200;135
2130;41;260;124
2675;99;177;172
2110;94;216;141
2401;14;267;109
2639;44;239;124
2572;84;276;131
2925;17;204;200
2177;70;183;173
2886;7;261;162
2668;53;292;106
2454;81;234;122
2977;23;226;124
2497;38;295;139
2224;35;196;197
2686;12;289;101
2457;36;158;168
2974;88;209;177
2097;18;188;145
2803;67;214;132
2366;89;151;184
2769;20;263;182
2137;19;274;199
2784;4;300;172
2353;90;263;118
2960;55;234;174
2856;60;261;177
2946;20;227;130
2327;35;168;170
2379;89;217;169
2821;65;189;135
2644;64;248;120
2740;70;267;135
2071;16;169;129
2291;9;293;155
2640;23;293;109
2971;77;226;173
2525;43;187;120
2002;25;266;162
2414;31;198;154
2329;96;291;188
2841;93;228;106
2348;31;186;106
2631;55;286;190
2392;62;290;169
2161;7;262;136
2480;35;220;100
2367;56;284;191
2817;71;181;187
2872;3;260;179
2237;84;213;118
2421;87;232;191
2426;75;253;127
2545;32;259;155
2445;99;167;184
2063;90;190;196
2572;2;195;126
2094;24;269;145
2372;29;233;157
2921;92;207;193
2852;82;181;170
2926;69;211;118
2529;42;269;126
2326;93;180;152
2671;53;176;125
2599;11;230;175
2295;10;289;158
2328;38;232;128
2189;37;163;143
2415;74;210;124
2384;80;267;137
2285;69;199;135
2608;43;251;152
2639;19;274;111
2376;98;151;138
2457;18;234;154
2416;85;291;158
2534;46;277;129
2758;26;252;194
2947;91;160;152
2405;11;207;137
2493;70;218;184
2186;78;203;187
2850;80;167;175
2773;23;160;121
2174;42;249;200
2241;51;207;129
2973;45;240;145
2615;68;192;197
2737;51;158;188
2248;55;262;164
2747;14;234;197
2995;61;220;105
2875;9;274;177
2039;68;177;195
2020;74;180;172
2321;67;209;171
2735;5;160;199
2057;64;281;171
2696;77;198;178
2838;25;172;186
2055;44;232;184
2449;38;234;173
2003;86;184;155
2095;51;254;195
2012;34;267;157
2205;19;289;194
2086;12;194;138
2429;51;285;118
2941;100;283;183
2615;28;251;137
2246;27;204;160
2475;89;211;112
2852;64;265;104
2090;12;288;197
2951;81;294;178
2610;77;215;122
2422;36;161;101
2905;77;212;111
2757;18;273;187
2083;29;247;174
2379;98;281;111
2192;83;240;179
2690;59;226;125
2368;38;227;139
2789;80;279;163
2207;51;265;106
2104;24;189;187
2382;23;166;101
2228;6;154;128
2548;2;212;146
2155;3;189;162
2774;28;221;189
2924;39;215;176
2494;43;258;135
2765;86;177;114
2909;96;165;186
2766;44;154;196
2036;79;263;149
2104;8;232;161
2402;72;269;106
2552;85;239;148
2274;69;266;151
2659;87;192;128
2894;8;269;154
2945;32;191;144
2432;94;212;104
2193;33;214;136
2749;70;209;174
2223;96;216;161
2567;20;200;196
2503;89;190;169
2296;88;297;146
2604;49;241;177
2455;25;152;166
2148;46;156;127
2292;54;206;144
2383;20;199;171
2359;50;269;118
2017;40;298;169
2523;84;181;132
2908;90;270;107
2785;77;187;171
2798;59;201;132
2232;83;280;126
2824;19;168;157
2679;87;212;119
2160;1;158;177
2391;97;269;187
2133;21;280;186
2068;48;167;139
2958;85;251;163
2807;27;163;100
2240;49;230;111
2682;57;185;164
2285;91;273;186
2579;5;177;122
2861;92;171;117
2855;94;259;119
2758;92;177;100
2072;57;264;155
2898;79;162;115
2638;39;177;182
2415;17;257;104
2375;29;222;120
2917;83;155;100
2326;57;206;174
2859;77;249;102
2480;76;154;121
2317;38;220;137
2121;2;190;112
2080;9;252;141
2279;42;164;125
2453;63;233;123
2393;1;192;184
2725;10;222;191
2215;11;160;156
2102;98;168;153
2174;37;277;167
2282;67;287;187
2746;12;151;102
2418;67;197;101
2803;94;158;128
2114;53;190;169
2053;27;185;134
2760;34;205;174
2841;19;223;158
2192;33;253;140
2203;98;283;122
2120;1;226;170
2840;4;267;187
2348;20;294;119
2410;53;185;172
2136;41;226;163
2610;70;216;182
2500;4;300;172
2021;7;153;149
2241;54;209;116
2220;40;241;172
2850;38;237;191
2604;89;185;159
2171;74;235;103
2958;16;253;101
2085;22;286;112
2473;52;219;101
2113;33;160;108
2405;44;278;198
2323;52;262;173
2314;10;274;187
2289;44;249;155
2756;97;291;125
2526;15;251;174
2689;45;245;186
2963;57;212;190
2567;86;254;129
2139;99;225;171
2761;19;238;108
2601;34;287;154
2280;89;275;198
2431;44;186;200
2901;42;283;141
2549;37;236;156
2144;18;297;157
2889;1;159;191
2378;54;256;133
2731;13;242;102
2025;21;182;113
2511;13;219;111
2123;86;221;146
2500;99;286;121
2456;4;269;106
2224;44;181;117
2846;16;278;190
2532;13;270;121
2421;83;257;199
2405;10;188;194
2505;24;170;115
2112;35;160;121
2233;25;209;182
2833;82;269;175
2790;63;294;133
2000;49;243;111
2078;78;263;175
2698;47;278;146
2134;4;270;167
2897;99;170;131
2811;66;286;140
2943;77;254;197
2283;5;263;170
2497;22;256;107
2579;7;207;120
2644;5;292;123
2836;74;200;181
2216;6;213;142
2238;41;233;123
2818;31;157;137
2817;32;232;124
2763;57;235;104
2367;31;219;113
2852;51;230;134
2326;73;261;149
2710;83;292;116
2903;44;200;156
2435;29;168;168
2720;75;285;111
2881;44;255;170
2837;55;159;110
2981;64;161;174
2539;26;164;115
2607;5;154;173
2217;31;211;196
2697;23;253;119
2533;5;208;164
2376;14;150;118
2819;86;262;136
2009;41;268;103
2422;50;177;181
2297;24;156;136
2040;2;230;151
2192;79;189;149
2247;87;274;148
2061;50;256;189
2726;58;287;185
2256;73;267;188
2684;77;251;156
2831;8;164;140
2477;92;257;169
2983;45;169;199
2363;55;205;143
2960;91;177;138
2492;84;155;162
2878;86;268;184
2290;36;261;141
2482;36;274;125
2435;98;212;191
2551;78;269;192
2599;34;218;175
2731;74;234;155
2731;7;230;186
2343;45;175;128
2119;4;248;148
2817;44;245;145
2769;16;251;171
2256;68;256;154
2368;87;265;198
2774;82;285;177
2987;46;288;197
2634;77;232;120
2511;5;290;111
2053;25;229;175
2157;27;269;170
2922;45;276;174
2183;82;269;109
2483;70;276;149
2868;60;251;118
2741;16;286;190
2701;27;165;173
2148;55;183;114
2221;10;296;110
2410;86;156;145
2074;69;284;170
2149;41;269;159
2308;14;190;116
2014;100;158;165
2921;67;278;185
2361;2;162;163
2612;71;284;184
2992;93;293;134
2412;98;159;195
2649;98;249;126
2508;60;288;155
2228;61;196;122
2067;18;164;170
2196;1;266;147
2591;58;192;105
2417;2;268;118
2641;92;173;196
2366;62;161;122
2974;2;250;191
2137;14;224;132
2663;52;152;190
2743;16;208;117
2354;78;278;117
2322;1;268;156
2771;31;289;189
2156;32;248;140
